City,StateName,2021_Avg_Rent,2022_Avg_Rent,2023_Avg_Rent,2024_Avg_Rent,2025_Avg_Rent,Current_Rent
"Fernley, NV",NV,1701.0,1800.0,1882.0,1955.0,2035.0,2035.0
"Carson City, NV",NV,,,2042.0,2144.0,2247.0,2247.0
"Eagle Pass, TX",TX,,,,,1562.0,1562.0
"Calhoun, GA",GA,,,,,1830.0,1830.0
"Cullowhee, NC",NC,,,,,1913.0,1913.0
"Ontario, OR",OR,,,,,1650.0,1650.0
"Sterling, IL",IL,,,,,900.0,900.0
"Branson, MO",MO,,,1511.0,1555.0,1634.0,1634.0
"Cedar City, UT",UT,,,1545.0,1585.0,1606.0,1606.0
"Oxford, MS",MS,,,2254.0,2467.0,2641.0,2641.0
"Jasper, IN",IN,,,,,1500.0,1500.0
"Edwards, CO",CO,,,,,5179.0,5179.0
"Durango, CO",CO,,,,,2528.0,2528.0
"Kinston, NC",NC,,,,,995.0,995.0
"Glasgow, KY",KY,,,,,1100.0,1100.0
"St. Marys, GA",GA,,1520.0,1637.0,1708.0,1780.0,1780.0
"Boone, NC",NC,,,,,2171.0,2171.0
"Warrensburg, MO",MO,,1152.0,1219.0,1298.0,1361.0,1361.0
"Fort Leonard Wood, MO",MO,,,1285.0,1388.0,1490.0,1490.0
"Elizabeth City, NC",NC,,,,1557.0,1614.0,1614.0
"Payson, AZ",AZ,,,,,1861.0,1861.0
"Athens, TN",TN,,,,,1288.0,1288.0
"Enterprise, AL",AL,1067.0,1200.0,1261.0,1306.0,1341.0,1341.0
"Milledgeville, GA",GA,,,,1426.0,1508.0,1508.0
"Kerrville, TX",TX,,,1783.0,1796.0,1810.0,1810.0
"Bartlesville, OK",OK,,,1099.0,1170.0,1233.0,1233.0
"Corsicana, TX",TX,,,,,1528.0,1528.0
"Mason City, IA",IA,,,,,1170.0,1170.0
"Pahrump, NV",NV,,,,,1924.0,1924.0
"Paris, TX",TX,,,,,1349.0,1349.0
"Newport, OR",OR,,,,,2149.0,2149.0
"Ozark, AL",AL,,,,,1258.0,1258.0
"Gardnerville Ranchos, NV",NV,,,2465.0,2460.0,2493.0,2493.0
"Fort Polk South, LA",LA,,,1207.0,1256.0,1285.0,1285.0
"Ca-¦on City, CO",CO,,,,,1542.0,1542.0
"Clovis, NM",NM,,1187.0,1245.0,1295.0,1333.0,1333.0
"Ruston, LA",LA,,899.0,949.0,969.0,999.0,999.0
"Del Rio, TX",TX,,,,,1644.0,1644.0
"Montrose, CO",CO,,,,1995.0,2088.0,2088.0
"Mount Sterling, KY",KY,,,,,1023.0,1023.0
"Clinton, IA",IA,,,,,1150.0,1150.0
"Sandpoint, ID",ID,,,,,2380.0,2380.0
"Burley, ID",ID,,,,,1538.0,1538.0
"Durant, OK",OK,,,,1594.0,1626.0,1626.0
"Thomasville, GA",GA,,,,1507.0,1564.0,1564.0
"Menomonie, WI",WI,,,,,1560.0,1560.0
"Rolla, MO",MO,,,,,944.0,944.0
"Ellensburg, WA",WA,,1868.0,1962.0,2043.0,2157.0,2157.0
"Ponca City, OK",OK,,,,,783.0,783.0
"Muscatine, IA",IA,,,,,775.0,775.0
"Lewisburg, PA",PA,,,,,1162.0,1162.0
"Sedalia, MO",MO,,,,,1125.0,1125.0
"Henderson, NC",NC,,,,,999.0,999.0
"Rock Springs, WY",WY,,,,,1493.0,1493.0
"Stephenville, TX",TX,,,,1532.0,1634.0,1634.0
"El Campo, TX",TX,,,,,1462.0,1462.0
"Mountain Home, AR",AR,,,,,1350.0,1350.0
"Astoria, OR",OR,,,,,2529.0,2529.0
"Clewiston, FL",FL,,,,,2046.0,2046.0
"Riverton, WY",WY,,,,,1405.0,1405.0
"Pittsburg, KS",KS,,,,,907.0,907.0
"Cambridge, OH",OH,,,,,975.0,975.0
"Williston, ND",ND,,,,,1884.0,1884.0
"Ada, OK",OK,,864.0,914.0,977.0,1006.0,1006.0
"Easton, MD",MD,,,,,2632.0,2632.0
"Owatonna, MN",MN,,,,,1348.0,1348.0
"Laramie, WY",WY,,,,1755.0,1873.0,1873.0
"Fremont, NE",NE,,,,1384.0,1450.0,1450.0
"Fort Dodge, IA",IA,,,,,1000.0,1000.0
"North Platte, NE",NE,,,,811.0,862.0,862.0
"Brenham, TX",TX,,,,,1673.0,1673.0
"Bonham, TX",TX,,,,,1618.0,1618.0
"Butte, MT",MT,,,,,1458.0,1458.0
"Emporia, KS",KS,,,,,1200.0,1200.0
"Jackson, WY",WY,,,,,3599.0,3599.0
"Brookings, SD",SD,,,,1612.0,1644.0,1644.0
"Brevard, NC",NC,,,,,2292.0,2292.0
"Susanville, CA",CA,,,,,1575.0,1575.0
"Martin, TN",TN,,,,,900.0,900.0
"Cambridge, MD",MD,,,,,1677.0,1677.0
"Kingsville, TX",TX,,,,1380.0,1435.0,1435.0
"Breckenridge, CO",CO,,,,4485.0,4604.0,4604.0
"Sheridan, WY",WY,,,,,1706.0,1706.0
"Kirksville, MO",MO,,,,,995.0,995.0
"Fort Morgan, CO",CO,,,,,1688.0,1688.0
"Mineral Wells, TX",TX,,,,,1600.0,1600.0
"Fredericksburg, TX",TX,,,,,2350.0,2350.0
"The Dalles, OR",OR,,,,,1777.0,1777.0
"La Grande, OR",OR,,,,,1733.0,1733.0
"Great Bend, KS",KS,,,,,786.0,786.0
"Fallon, NV",NV,,,,,1686.0,1686.0
"Altus, OK",OK,,,,,1625.0,1625.0
"Hailey, ID",ID,,,,,3550.0,3550.0
"Steamboat Springs, CO",CO,,,,,3397.0,3397.0
"Prineville, OR",OR,,,,,1859.0,1859.0
"Rockport, TX",TX,,,,,1838.0,1838.0
"Sterling, CO",CO,,,,,1400.0,1400.0
"Jamestown, ND",ND,,,,,1375.0,1375.0
"Portales, NM",NM,,,1008.0,1053.0,1093.0,1093.0
"Los Alamos, NM",NM,,,,,2450.0,2450.0
