City,StateName,2021_Avg_Rent,2022_Avg_Rent,2023_Avg_Rent,2024_Avg_Rent,2025_Avg_Rent,Current_Rent
"Appleton, WI",WI,,,1510.0,1572.0,1666.0,1666.0
"Prescott Valley, AZ",AZ,1864.0,2073.0,2124.0,2191.0,2244.0,2244.0
"Topeka, KS",KS,945.0,1055.0,1135.0,1197.0,1276.0,1276.0
"Macon, GA",GA,978.0,1111.0,1207.0,1277.0,1332.0,1332.0
"Tyler, TX",TX,1401.0,1582.0,1648.0,1688.0,1723.0,1723.0
"Barnstable Town, MA",MA,,,,,2906.0,2906.0
"Daphne, AL",AL,1617.0,1801.0,1875.0,1939.0,1984.0,1984.0
"Bellingham, WA",WA,2208.0,2432.0,2570.0,2670.0,2756.0,2756.0
"Burlington, VT",VT,,,3289.0,3502.0,3580.0,3580.0
"Rochester, MN",MN,1481.0,1593.0,1688.0,1760.0,1862.0,1862.0
"Lafayette, IN",IN,1398.0,1531.0,1694.0,1818.0,1899.0,1899.0
"Champaign, IL",IL,1153.0,1244.0,1311.0,1424.0,1522.0,1522.0
"Medford, OR",OR,1720.0,1826.0,1882.0,1959.0,2018.0,2018.0
"Lebanon, NH",NH,,,,2303.0,2345.0,2345.0
"Charlottesville, VA",VA,1836.0,2011.0,2173.0,2306.0,2419.0,2419.0
"Lake Charles, LA",LA,1253.0,1169.0,1155.0,1150.0,1175.0,1175.0
"Las Cruces, NM",NM,1329.0,1511.0,1599.0,1643.0,1687.0,1687.0
"Chico, CA",CA,1730.0,1836.0,1897.0,1973.0,2031.0,2031.0
"Hilton Head Island, SC",SC,1903.0,2213.0,2388.0,2488.0,2551.0,2551.0
"Athens, GA",GA,1574.0,1771.0,1933.0,2045.0,2092.0,2092.0
"Lake Havasu City, AZ",AZ,1481.0,1648.0,1676.0,1725.0,1769.0,1769.0
"Columbia, MO",MO,1193.0,1326.0,1432.0,1552.0,1657.0,1657.0
"Springfield, IL",IL,1050.0,1152.0,1236.0,1322.0,1394.0,1394.0
"Houma, LA",LA,,,,1322.0,1334.0,1334.0
"Monroe, LA",LA,,910.0,950.0,992.0,1056.0,1056.0
"Elkhart, IN",IN,,,1338.0,1378.0,1421.0,1421.0
"Johnson City, TN",TN,1210.0,1378.0,1503.0,1576.0,1662.0,1662.0
"Yuma, AZ",AZ,1373.0,1475.0,1546.0,1580.0,1620.0,1620.0
"Gainesville, GA",GA,1707.0,1925.0,2056.0,2132.0,2198.0,2198.0
"Jacksonville, NC",NC,1170.0,1337.0,1424.0,1481.0,1538.0,1538.0
"Florence, SC",SC,,,,1299.0,1359.0,1359.0
"Hilo, HI",HI,,2520.0,2688.0,2869.0,2981.0,2981.0
"St. Cloud, MN",MN,,1442.0,1531.0,1599.0,1661.0,1661.0
"Racine, WI",WI,,,1471.0,1549.0,1614.0,1614.0
"Bend, OR",OR,2314.0,2432.0,2475.0,2543.0,2594.0,2594.0
"Saginaw, MI",MI,,,,,1143.0,1143.0
"Warner Robins, GA",GA,1261.0,1439.0,1535.0,1608.0,1669.0,1669.0
"Terre Haute, IN",IN,,848.0,888.0,945.0,1007.0,1007.0
"Torrington, CT",CT,,,,,3299.0,3299.0
"Punta Gorda, FL",FL,1614.0,1959.0,2091.0,2058.0,2046.0,2046.0
"Billings, MT",MT,1428.0,1575.0,1657.0,1722.0,1779.0,1779.0
"Redding, CA",CA,1633.0,1785.0,1848.0,1932.0,2041.0,2041.0
"Kingston, NY",NY,,,2408.0,2487.0,2577.0,2577.0
"Panama City, FL",FL,1696.0,1885.0,1964.0,2003.0,2032.0,2032.0
"Joplin, MO",MO,,1142.0,1202.0,1253.0,1310.0,1310.0
"Dover, DE",DE,,1673.0,1771.0,1872.0,1946.0,1946.0
"Jackson, TN",TN,1081.0,1210.0,1321.0,1416.0,1504.0,1504.0
"Yuba City, CA",CA,2050.0,2142.0,2206.0,2306.0,2415.0,2415.0
"Bowling Green, KY",KY,,1492.0,1560.0,1628.0,1669.0,1669.0
"St. George, UT",UT,1719.0,1882.0,1925.0,1968.0,2032.0,2032.0
"Muskegon, MI",MI,,1200.0,1231.0,1343.0,1392.0,1392.0
"Abilene, TX",TX,1132.0,1230.0,1304.0,1347.0,1452.0,1452.0
"Iowa City, IA",IA,1885.0,1981.0,2082.0,2180.0,2273.0,2273.0
"Auburn, AL",AL,1353.0,1474.0,1600.0,1700.0,1827.0,1827.0
"Midland, TX",TX,2041.0,2185.0,2298.0,2401.0,2485.0,2485.0
"Hattiesburg, MS",MS,,1249.0,1291.0,1347.0,1397.0,1397.0
"Bloomington, IL",IL,1300.0,1536.0,1670.0,1783.0,1857.0,1857.0
"Oshkosh, WI",WI,,1147.0,1229.0,1300.0,1404.0,1404.0
"Eau Claire, WI",WI,,,,1099.0,1130.0,1130.0
"Greenville, NC",NC,1290.0,1459.0,1575.0,1644.0,1696.0,1696.0
"Burlington, NC",NC,1258.0,1436.0,1537.0,1628.0,1695.0,1695.0
